🕘️更新时间,#genre#
2026-08-10 06:33:11,https://www.9kds.com/d/1905.php?t=1&id=LIVEOYY31H24H48NE&kl=www.9kds.com$订阅源

📺央视频道,#genre#
CCTV-6,https://www.9kds.com/d/1905.php?t=1&id=LIVEOYY31H24H48NE&kl=www.9kds.com$订阅源
CCTV-8,https://live.chinacert.cftest5.cn/cnmg/live/624878356$订阅源
CCTV-9,https://live.chinacert.cftest5.cn/cnmg/live/673168140$订阅源
CCTV-11,https://live.chinacert.cftest5.cn/cnmg/live/667987558$订阅源
CCTV-12,https://live.chinacert.cftest5.cn/cnmg/live/673168185$订阅源
CCTV-13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8$订阅源
CCTV-13,https://live.chinacert.cftest5.cn/cnmg/live/608807423$订阅源
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8$订阅源
CCTV-14,https://live.chinacert.cftest5.cn/cnmg/live/624878440$订阅源
CCTV-15,https://live.chinacert.cftest5.cn/cnmg/live/673168223$订阅源
CCTV-17,https://live.chinacert.cftest5.cn/cnmg/live/673168256$订阅源

📡卫视频道,#genre#
东南卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$订阅源
甘肃卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$订阅源
